1行目が無視されてしまう問題に対処するダミー行,1.0
20,1.0
21,1.0
22,1.1
23,1.1
24,1.2
25,1.2
26,1.3
27,1.3
28,1.4
29,1.4
30,1.5
31,1.5
32,1.6
33,1.6
34,1.7
35,1.7
36,1.8
37,1.8
38,1.9
39,1.9
40,2.0
41,2.0
42,2.1
43,2.1
44,2.2
45,2.2
46,2.3
47,2.3
48,2.4
49,2.4
50,2.5
51,2.5
52,2.6
53,2.6
54,2.7
55,2.7
56,2.8
57,2.8
58,2.9
59,2.9
60,3.0
61,3.0
62,3.1
63,3.1
64,3.2
65,3.2
66,3.3
67,3.3
68,3.4
69,3.4
70,3.5
71,3.5
72,3.6
73,3.6
74,3.7
75,3.7
76,3.8
77,3.8
78,3.9
79,3.9
80,4.0
81,4.0
82,4.1
83,4.1
84,4.2
85,4.2
86,4.3
87,4.3
88,4.4
89,4.4
90,4.5
91,4.5
92,4.6
93,4.6
94,4.7
95,4.7
96,4.8
97,4.8
98,4.9
99,4.9
100,5.0
